Code,Year,Population
AGO,2000,16394062
AGO,2001,16941587
AGO,2002,17516139
AGO,2003,18124342
AGO,2004,18771125
AGO,2005,19450959
AGO,2006,20162340
AGO,2007,20909684
AGO,2008,21691522
AGO,2009,22507674
AGO,2010,23364185
AGO,2011,24259111
AGO,2012,25188292
AGO,2013,26147002
AGO,2014,27128337
AGO,2015,28127721
AGO,2016,29154746
AGO,2017,30208628
AGO,2018,31273533
AGO,2019,32353588
ATG,1990,63328
ATG,1991,63634
ATG,1992,64659
ATG,1993,65834
ATG,1994,67072
ATG,1995,68398
ATG,1996,69798
ATG,1997,71218
ATG,1998,72572
ATG,1999,73821
ATG,2000,75055
ATG,2001,76215
ATG,2002,77195
ATG,2003,78075
ATG,2004,78941
ATG,2005,79869
ATG,2006,80895
ATG,2007,82016
ATG,2008,83251
ATG,2009,84534
ATG,2010,85695
ATG,2011,86729
ATG,2012,87674
ATG,2013,88497
ATG,2014,89236
ATG,2015,89941
ATG,2016,90564
ATG,2017,91119
ATG,2018,91626
ATG,2019,92117
ARG,1990,32637657
ARG,1991,33105763
ARG,1992,33568285
ARG,1993,34027240
ARG,1994,34488696
ARG,1995,34946110
ARG,1996,35389362
ARG,1997,35815971
ARG,1998,36233195
ARG,1999,36653031
ARG,2000,37070774
ARG,2001,37480493
ARG,2002,37885028
ARG,2003,38278164
ARG,2004,38668796
ARG,2005,39070501
ARG,2006,39476851
ARG,2007,39876111
ARG,2008,40273769
ARG,2009,40684338
ARG,2010,40788453
ARG,2011,41261490
ARG,2012,41733271
ARG,2013,42202935
ARG,2014,42669500
ARG,2015,43131966
ARG,2016,43590368
ARG,2017,44044811
ARG,2018,44494502
ARG,2019,44938712
ARM,1990,3556539
ARM,1991,3617631
ARM,1992,3574555
ARM,1993,3457349
ARM,1994,3373713
ARM,1995,3322782
ARM,1996,3298898
ARM,1997,3271418
ARM,1998,3240550
ARM,1999,3206030
ARM,2000,3168523
ARM,2001,3133133
ARM,2002,3105037
ARM,2003,3084102
ARM,2004,3065745
ARM,2005,3047246
ARM,2006,3026486
ARM,2007,3004393
ARM,2008,2983421
ARM,2009,2964296
ARM,2010,2946293
ARM,2011,2928976
ARM,2012,2914421
ARM,2013,2901385
ARM,2014,2889930
ARM,2015,2878595
ARM,2016,2865835
ARM,2017,2851923
ARM,2018,2836557
ARM,2019,2820602
AUS,1990,17065128
AUS,1991,17284036
AUS,1992,17478635
AUS,1993,17634808
AUS,1994,17805468
AUS,1995,18004882
AUS,1996,18224767
AUS,1997,18423037
AUS,1998,18607584
AUS,1999,18812264
AUS,2000,19028802
AUS,2001,19274701
AUS,2002,19495210
AUS,2003,19720737
AUS,2004,19932722
AUS,2005,20176844
AUS,2006,20450966
AUS,2007,20827622
AUS,2008,21249199
AUS,2009,21691653
AUS,2010,22031750
AUS,2011,22340024
AUS,2012,22733465
AUS,2013,23128129
AUS,2014,23475686
AUS,2015,23815995
AUS,2016,24190907
AUS,2017,24592588
AUS,2018,24963258
AUS,2019,25334826
AUT,1990,7677850
AUT,1991,7754891
AUT,1992,7840709
AUT,1993,7905633
AUT,1994,7936118
AUT,1995,7948278
AUT,1996,7959017
AUT,1997,7968041
AUT,1998,7976789
AUT,1999,7992324
AUT,2000,8011566
AUT,2001,8042293
AUT,2002,8081957
AUT,2003,8121423
AUT,2004,8171966
AUT,2005,8227829
AUT,2006,8268641
AUT,2007,8295487
AUT,2008,8321496
AUT,2009,8343323
AUT,2010,8363404
AUT,2011,8391643
AUT,2012,8429991
AUT,2013,8479823
AUT,2014,8546356
AUT,2015,8642699
AUT,2016,8736668
AUT,2017,8797566
AUT,2018,8840521
AUT,2019,8879920
AZE,1990,7175200
AZE,1991,7271300
AZE,1992,7382050
AZE,1993,7494800
AZE,1994,7596550
AZE,1995,7684850
AZE,1996,7763000
AZE,1997,7838250
AZE,1998,7913000
AZE,1999,7982750
AZE,2000,8048600
AZE,2001,8111200
AZE,2002,8171950
AZE,2003,8234100
AZE,2004,8306500
AZE,2005,8391850
AZE,2006,8484550
AZE,2007,8581300
AZE,2008,8763400
AZE,2009,8947243
AZE,2010,9054332
AZE,2011,9173082
AZE,2012,9295784
AZE,2013,9416801
AZE,2014,9535079
AZE,2015,9649341
AZE,2016,9757812
AZE,2017,9854033
AZE,2018,9939771
AZE,2019,10024283
BHS,1990,270679
BHS,1991,276058
BHS,1992,281973
BHS,1993,288164
BHS,1994,293997
BHS,1995,299554
BHS,1996,304933
BHS,1997,310171
BHS,1998,315398
BHS,1999,320272
BHS,2000,325014
BHS,2001,329626
BHS,2002,334002
BHS,2003,338490
BHS,2004,343089
BHS,2005,347804
BHS,2006,352664
BHS,2007,357666
BHS,2008,362795
BHS,2009,368057
BHS,2010,373272
BHS,2011,377950
BHS,2012,382061
BHS,2013,385650
BHS,2014,389131
BHS,2015,392697
BHS,2016,395976
BHS,2017,399020
BHS,2018,401906
BHS,2019,404557
BHR,1990,517418
BHR,1991,535415
BHR,1992,554470
BHR,1993,573755
BHR,1994,593254
BHR,1995,612934
BHR,1996,632756
BHR,1997,652643
BHR,1998,672484
BHR,1999,692133
BHR,2000,711442
BHR,2001,730257
BHR,2002,748324
BHR,2003,778256
BHR,2004,833451
BHR,2005,901921
BHR,2006,970981
BHR,2007,1040532
BHR,2008,1110343
BHR,2009,1179453
BHR,2010,1213645
BHR,2011,1212077
BHR,2012,1224939
BHR,2013,1261673
BHR,2014,1311134
BHR,2015,1362142
BHR,2016,1409661
BHR,2017,1456834
BHR,2018,1487340
BHR,2019,1494188
BGD,1990,107147651
BGD,1991,109242834
BGD,1992,111272102
BGD,1993,113418757
BGD,1994,115614891
BGD,1995,117793338
BGD,1996,119876868
BGD,1997,122039226
BGD,1998,124350471
BGD,1999,126754824
BGD,2000,129193327
BGD,2001,131670484
BGD,2002,134139826
BGD,2003,136503206
BGD,2004,138789725
BGD,2005,140912590
BGD,2006,142628831
BGD,2007,144135934
BGD,2008,145421318
BGD,2009,146706810
BGD,2010,148391139
BGD,2011,150211005
BGD,2012,152090649
BGD,2013,154030139
BGD,2014,155961299
BGD,2015,157830000
BGD,2016,159784568
BGD,2017,161793964
BGD,2018,163683958
BGD,2019,165516222
BRB,1990,258868
BRB,1991,259402
BRB,1992,260212
BRB,1993,260995
BRB,1994,261712
BRB,1995,262303
BRB,1996,262793
BRB,1997,263224
BRB,1998,263642
BRB,1999,264170
BRB,2000,264657
BRB,2001,265377
BRB,2002,266455
BRB,2003,267499
BRB,2004,268505
BRB,2005,269477
BRB,2006,270425
BRB,2007,271444
BRB,2008,272635
BRB,2009,273791
BRB,2010,274711
BRB,2011,275486
BRB,2012,276197
BRB,2013,276865
BRB,2014,277493
BRB,2015,278083
BRB,2016,278649
BRB,2017,279187
BRB,2018,279688
BRB,2019,280180
BLR,1990,10189348
BLR,1991,10194050
BLR,1992,10216470
BLR,1993,10239050
BLR,1994,10226955
BLR,1995,10193831
BLR,1996,10159569
BLR,1997,10117433
BLR,1998,10071963
BLR,1999,10026738
BLR,2000,9979610
BLR,2001,9928549
BLR,2002,9865548
BLR,2003,9796749
BLR,2004,9730146
BLR,2005,9663915
BLR,2006,9604924
BLR,2007,9560953
BLR,2008,9527985
BLR,2009,9504583
BLR,2010,9483836
BLR,2011,9461643
BLR,2012,9446836
BLR,2013,9443211
BLR,2014,9448515
BLR,2015,9461076
BLR,2016,9469379
BLR,2017,9458989
BLR,2018,9438785
BLR,2019,9419758
BEL,1990,9967379
BEL,1991,10004486
BEL,1992,10045158
BEL,1993,10084475
BEL,1994,10115603
BEL,1995,10136811
BEL,1996,10156637
BEL,1997,10181245
BEL,1998,10203008
BEL,1999,10226419
BEL,2000,10251250
BEL,2001,10286570
BEL,2002,10332785
BEL,2003,10376133
BEL,2004,10421137
BEL,2005,10478617
BEL,2006,10547958
BEL,2007,10625700
BEL,2008,10709973
BEL,2009,10796493
BEL,2010,10895586
BEL,2011,11038264
BEL,2012,11106932
BEL,2013,11159407
BEL,2014,11209057
BEL,2015,11274196
BEL,2016,11331422
BEL,2017,11375158
BEL,2018,11427054
BEL,2019,11488980
BLZ,1990,182589
BLZ,1991,186462
BLZ,1992,190299
BLZ,1993,194177
BLZ,1994,198416
BLZ,1995,203556
BLZ,1996,209840
BLZ,1997,217117
BLZ,1998,224907
BLZ,1999,232733
BLZ,2000,240406
BLZ,2001,248100
BLZ,2002,255987
BLZ,2003,263998
BLZ,2004,272128
BLZ,2005,280375
BLZ,2006,288729
BLZ,2007,297173
BLZ,2008,305671
BLZ,2009,314171
BLZ,2010,322106
BLZ,2011,329538
BLZ,2012,337059
BLZ,2013,344688
BLZ,2014,352335
BLZ,2015,359871
BLZ,2016,367313
BLZ,2017,374693
BLZ,2018,382066
BLZ,2019,389095
BEN,1990,5133419
BEN,1991,5293046
BEN,1992,5457778
BEN,1993,5706181
BEN,1994,5923394
BEN,1995,6046511
BEN,1996,6203860
BEN,1997,6387026
BEN,1998,6584183
BEN,1999,6788589
BEN,2000,6998023
BEN,2001,7212041
BEN,2002,7431783
BEN,2003,7659208
BEN,2004,7894554
BEN,2005,8149419
BEN,2006,8402631
BEN,2007,8647761
BEN,2008,8906469
BEN,2009,9172514
BEN,2010,9445710
BEN,2011,9726380
BEN,2012,10014078
BEN,2013,10308730
BEN,2014,10614844
BEN,2015,10932783
BEN,2016,11260085
BEN,2017,11596779
BEN,2018,11940683
BEN,2019,12290444
BMU,1990,59326
BMU,1991,59021
BMU,1992,58595
BMU,1993,58910
BMU,1994,59320
BMU,1995,59746
BMU,1996,60129
BMU,1997,60497
BMU,1998,60943
BMU,1999,61285
BMU,2000,61833
BMU,2001,62504
BMU,2002,62912
BMU,2003,63325
BMU,2004,63740
BMU,2005,64154
BMU,2006,64523
BMU,2007,64888
BMU,2008,65273
BMU,2009,65636
BMU,2010,65124
BMU,2011,64564
BMU,2012,64798
BMU,2013,65001
BMU,2014,65138
BMU,2015,65237
BMU,2016,64554
BMU,2017,63873
BMU,2018,63918
BMU,2019,63911
BTN,1990,558442
BTN,1991,567710
BTN,1992,545944
BTN,1993,520838
BTN,1994,521260
BTN,1995,527536
BTN,1996,537494
BTN,1997,546865
BTN,1998,557143
BTN,1999,570990
BTN,2000,587207
BTN,2001,603234
BTN,2002,619048
BTN,2003,634627
BTN,2004,649991
BTN,2005,663323
BTN,2006,673260
BTN,2007,681614
BTN,2008,689737
BTN,2009,697678
BTN,2010,705516
BTN,2011,713331
BTN,2012,721145
BTN,2013,728889
BTN,2014,736357
BTN,2015,743274
BTN,2016,749761
BTN,2017,756121
BTN,2018,762096
BTN,2019,767459
BOL,1990,7096194
BOL,1991,7244891
BOL,1992,7394419
BOL,1993,7544489
BOL,1994,7693722
BOL,1995,7841471
BOL,1996,7989367
BOL,1997,8137619
BOL,1998,8286928
BOL,1999,8439052
BOL,2000,8592656
BOL,2001,8746084
BOL,2002,8900583
BOL,2003,9057378
BOL,2004,9216279
BOL,2005,9377388
BOL,2006,9542663
BOL,2007,9711152
BOL,2008,9880593
BOL,2009,10051317
BOL,2010,10223270
BOL,2011,10396246
BOL,2012,10569697
BOL,2013,10743349
BOL,2014,10916987
BOL,2015,11090085
BOL,2016,11263015
BOL,2017,11435533
BOL,2018,11606905
BOL,2019,11777315
BIH,1990,4494310
BIH,1991,4502386
BIH,1992,4275730
BIH,1993,3942981
BIH,1994,3762330
BIH,1995,3750527
BIH,1996,3907751
BIH,1997,4047748
BIH,1998,4115059
BIH,1999,4153014
BIH,2000,4179350
BIH,2001,4194932
BIH,2002,4198410
BIH,2003,4183757
BIH,2004,4142860
BIH,2005,4094297
BIH,2006,4058086
BIH,2007,4007876
BIH,2008,3943392
BIH,2009,3877750
BIH,2010,3811088
BIH,2011,3743142
BIH,2012,3674374
BIH,2013,3617559
BIH,2014,3571068
BIH,2015,3524324
BIH,2016,3480986
BIH,2017,3440027
BIH,2018,3400129
BIH,2019,3360711
BWA,1990,1341474
BWA,1991,1380584
BWA,1992,1420695
BWA,1993,1462262
BWA,1994,1503544
BWA,1995,1543634
BWA,1996,1582169
BWA,1997,1619354
BWA,1998,1655699
BWA,1999,1691558
BWA,2000,1726985
BWA,2001,1761930
BWA,2002,1795130
BWA,2003,1826863
BWA,2004,1859085
BWA,2005,1892807
BWA,2006,1928704
BWA,2007,1966977
BWA,2008,2007320
BWA,2009,2048997
BWA,2010,2091664
BWA,2011,2134037
BWA,2012,2175425
BWA,2013,2217278
BWA,2014,2260376
BWA,2015,2305171
BWA,2016,2352416
BWA,2017,2401840
BWA,2018,2451409
BWA,2019,2499702
BRA,1990,150706446
BRA,1991,153336445
BRA,1992,155900790
BRA,1993,158440875
BRA,1994,160980472
BRA,1995,163515328
BRA,1996,166037122
BRA,1997,168546707
BRA,1998,171039804
BRA,1999,173486281
BRA,2000,175873720
BRA,2001,178211881
BRA,2002,180476685
BRA,2003,182629278
BRA,2004,184722043
BRA,2005,186797334
BRA,2006,188820682
BRA,2007,190779453
BRA,2008,192672317
BRA,2009,194517549
BRA,2010,196353492
BRA,2011,198185302
BRA,2012,199977707
BRA,2013,201721767
BRA,2014,203459650
BRA,2015,205188205
BRA,2016,206859578
BRA,2017,208504960
BRA,2018,210166592
BRA,2019,211782878
BGR,1990,8718289
BGR,1991,8632367
BGR,1992,8540164
BGR,1993,8472313
BGR,1994,8443591
BGR,1995,8406067
BGR,1996,8362826
BGR,1997,8312068
BGR,1998,8256786
BGR,1999,8210624
BGR,2000,8170172
BGR,2001,8009142
BGR,2002,7837161
BGR,2003,7775327
BGR,2004,7716860
BGR,2005,7658972
BGR,2006,7601022
BGR,2007,7545338
BGR,2008,7492561
BGR,2009,7444443
BGR,2010,7395599
BGR,2011,7348328
BGR,2012,7305888
BGR,2013,7265115
BGR,2014,7223938
BGR,2015,7177991
BGR,2016,7127822
BGR,2017,7075947
BGR,2018,7025037
BGR,2019,6975761
BRN,1990,261928
BRN,1991,269860
BRN,1992,277416
BRN,1993,284713
BRN,1994,291935
BRN,1995,299097
BRN,1996,306196
BRN,1997,313215
BRN,1998,320152
BRN,1999,327045
BRN,2000,333926
BRN,2001,340748
BRN,2002,347463
BRN,2003,354045
BRN,2004,360461
BRN,2005,366717
BRN,2006,372808
BRN,2007,378748
BRN,2008,384568
BRN,2009,390311
BRN,2010,396053
BRN,2011,401506
BRN,2012,406634
BRN,2013,411702
BRN,2014,416656
BRN,2015,421437
BRN,2016,425994
BRN,2017,430276
BRN,2018,434274
BRN,2019,438048
BFA,1990,9131361
BFA,1991,9365064
BFA,1992,9598555
BFA,1993,9840075
BFA,1994,10091256
BFA,1995,10353263
BFA,1996,10621210
BFA,1997,10897353
BFA,1998,11201063
BFA,1999,11533554
BFA,2000,11882888
BFA,2001,12249764
BFA,2002,12632269
BFA,2003,13030591
BFA,2004,13445977
BFA,2005,13876127
BFA,2006,14316242
BFA,2007,14757074
BFA,2008,15197915
BFA,2009,15650022
BFA,2010,16116845
BFA,2011,16602651
BFA,2012,17113732
BFA,2013,17636408
BFA,2014,18169842
BFA,2015,18718019
BFA,2016,19275498
BFA,2017,19835858
BFA,2018,20392723
BFA,2019,20951639
BDI,1990,5483793
BDI,1991,5594828
BDI,1992,5743085
BDI,1993,5555220
BDI,1994,5586408
BDI,1995,5932783
BDI,1996,5930507
BDI,1997,5923862
BDI,1998,6035340
BDI,1999,6180180
BDI,2000,6307659
BDI,2001,6465729
BDI,2002,6648938
BDI,2003,6860846
BDI,2004,7120496
BDI,2005,7388874
BDI,2006,7658190
BDI,2007,7944609
BDI,2008,8278109
BDI,2009,8709366
BDI,2010,9126605
BDI,2011,9455733
BDI,2012,9795479
BDI,2013,10149577
BDI,2014,10494913
BDI,2015,10727148
BDI,2016,10903327
BDI,2017,11155593
BDI,2018,11493472
BDI,2019,11874838
KHM,1990,8910808
KHM,1991,9259362
KHM,1992,9718215
KHM,1993,10243550
KHM,1994,10636353
KHM,1995,10919528
KHM,1996,11182612
KHM,1997,11431569
KHM,1998,11669077
KHM,1999,11899006
KHM,2000,12118841
KHM,2001,12338192
KHM,2002,12561779
KHM,2003,12787710
KHM,2004,13016371
KHM,2005,13246583
KHM,2006,13477779
KHM,2007,13714791
KHM,2008,13943888
KHM,2009,14155740
KHM,2010,14363532
KHM,2011,14573885
KHM,2012,14786640
KHM,2013,14999683
KHM,2014,15210817
KHM,2015,15417523
KHM,2016,15624584
KHM,2017,15830689
KHM,2018,16025238
KHM,2019,16207746
CMR,1990,11430520
CMR,1991,11777719
CMR,1992,12128604
CMR,1993,12486773
CMR,1994,12848862
CMR,1995,13211647
CMR,1996,13575324
CMR,1997,13941181
CMR,1998,14314599
CMR,1999,14698973
CMR,2000,15091594
CMR,2001,15493253
CMR,2002,15914033
CMR,2003,16354326
CMR,2004,16809407
CMR,2005,17275171
CMR,2006,17751333
CMR,2007,18251866
CMR,2008,18777081
CMR,2009,19319274
CMR,2010,19878036
CMR,2011,20448873
CMR,2012,21032684
CMR,2013,21632850
CMR,2014,22299585
CMR,2015,23012646
CMR,2016,23711630
CMR,2017,24393181
CMR,2018,25076747
CMR,2019,25782341
CAN,1990,27691138
CAN,1991,28037420
CAN,1992,28371264
CAN,1993,28684764
CAN,1994,29000663
CAN,1995,29302311
CAN,1996,29610218
CAN,1997,29905948
CAN,1998,30155173
CAN,1999,30401286
CAN,2000,30685730
CAN,2001,31020902
CAN,2002,31360079
CAN,2003,31644028
CAN,2004,31940655
CAN,2005,32243753
CAN,2006,32571174
CAN,2007,32889025
CAN,2008,33247118
CAN,2009,33628895
CAN,2010,34004889
CAN,2011,34339328
CAN,2012,34714222
CAN,2013,35082954
CAN,2014,35437435
CAN,2015,35702908
CAN,2016,36109487
CAN,2017,36545236
CAN,2018,37065084
CAN,2019,37601230
CPV,1990,364563
CPV,1991,372721
CPV,1992,381947
CPV,1993,391749
CPV,1994,401655
CPV,1995,411382
CPV,1996,421007
CPV,1997,430654
CPV,1998,440214
CPV,1999,449627
CPV,2000,458251
CPV,2001,465958
CPV,2002,473231
CPV,2003,480089
CPV,2004,486583
CPV,2005,492827
CPV,2006,498884
CPV,2007,504733
CPV,2008,510336
CPV,2009,515638
CPV,2010,521212
CPV,2011,527521
CPV,2012,533864
CPV,2013,539940
CPV,2014,546076
CPV,2015,552166
CPV,2016,558394
CPV,2017,564954
CPV,2018,571202
CPV,2019,577030
CAF,1990,2809221
CAF,1991,2898052
CAF,1992,2991727
CAF,1993,3089146
CAF,1994,3187844
CAF,1995,3276706
CAF,1996,3363570
CAF,1997,3458472
CAF,1998,3555064
CAF,1999,3655360
CAF,2000,3759170
CAF,2001,3844773
CAF,2002,3930648
CAF,2003,4026841
CAF,2004,4115138
CAF,2005,4208834
CAF,2006,4294352
CAF,2007,4375569
CAF,2008,4467233
CAF,2009,4564540
CAF,2010,4660067
CAF,2011,4732022
CAF,2012,4773306
CAF,2013,4802428
CAF,2014,4798734
CAF,2015,4819333
CAF,2016,4904177
CAF,2017,4996741
CAF,2018,5094780
CAF,2019,5209324
TCD,1990,5827069
TCD,1991,6042428
TCD,1992,6302926
TCD,1993,6448280
TCD,1994,6592998
TCD,1995,6888856
TCD,1996,7200291
TCD,1997,7450874
TCD,1998,7709115
TCD,1999,7981889
TCD,2000,8259137
TCD,2001,8538804
TCD,2002,8838369
TCD,2003,9196366
TCD,2004,9613503
TCD,2005,10005012
TCD,2006,10365614
TCD,2007,10722731
TCD,2008,11098664
TCD,2009,11496128
TCD,2010,11894727
TCD,2011,12317730
TCD,2012,12754906
TCD,2013,13216766
TCD,2014,13697126
TCD,2015,14140274
TCD,2016,14592585
TCD,2017,15085884
TCD,2018,15604210
TCD,2019,16126866
CHL,1990,13342868
CHL,1991,13561945
CHL,1992,13782297
CHL,1993,13998386
CHL,1994,14210674
CHL,1995,14416796
CHL,1996,14615483
CHL,1997,14809289
CHL,1998,14996742
CHL,1999,15176410
CHL,2000,15351799
CHL,2001,15523978
CHL,2002,15693790
CHL,2003,15859112
CHL,2004,16017966
CHL,2005,16175311
CHL,2006,16334575
CHL,2007,16495538
CHL,2008,16661462
CHL,2009,16833447
CHL,2010,17004162
CHL,2011,17173573
CHL,2012,17341771
CHL,2013,17509925
CHL,2014,17687108
CHL,2015,17870124
CHL,2016,18083879
CHL,2017,18368577
CHL,2018,18701450
CHL,2019,19039485
CHN,1990,1135185000
CHN,1991,1150780000
CHN,1992,1164970000
CHN,1993,1178440000
CHN,1994,1191835000
CHN,1995,1204855000
CHN,1996,1217550000
CHN,1997,1230075000
CHN,1998,1241935000
CHN,1999,1252735000
CHN,2000,1262645000
CHN,2001,1271850000
CHN,2002,1280400000
CHN,2003,1288400000
CHN,2004,1296075000
CHN,2005,1303720000
CHN,2006,1311020000
CHN,2007,1317885000
CHN,2008,1324655000
CHN,2009,1331260000
CHN,2010,1337705000
CHN,2011,1345035000
CHN,2012,1354190000
CHN,2013,1363240000
CHN,2014,1371860000
CHN,2015,1379860000
CHN,2016,1387790000
CHN,2017,1396215000
CHN,2018,1402760000
CHN,2019,1407745000
COL,1990,32601393
COL,1991,33272628
COL,1992,33939039
COL,1993,34614735
COL,1994,35295461
COL,1995,35970101
COL,1996,36632573
COL,1997,37291946
COL,1998,37944414
COL,1999,38585033
COL,2000,39215135
COL,2001,39837875
COL,2002,40454050
COL,2003,41057687
COL,2004,41648268
COL,2005,42220940
COL,2006,42772910
COL,2007,43306582
COL,2008,43815313
COL,2009,44313917
COL,2010,44816108
COL,2011,45308899
COL,2012,45782417
COL,2013,46237930
COL,2014,46677947
COL,2015,47119728
COL,2016,47625955
COL,2017,48351671
COL,2018,49276961
COL,2019,50187406
COM,1990,431119
COM,1991,442277
COM,1992,452990
COM,1993,463318
COM,1994,473478
COM,1995,483760
COM,1996,494288
COM,1997,505033
COM,1998,515959
COM,1999,526443
COM,2000,536758
COM,2001,547741
COM,2002,559047
COM,2003,570130
COM,2004,581154
COM,2005,592683
COM,2006,604658
COM,2007,616899
COM,2008,629470
COM,2009,642493
COM,2010,656024
COM,2011,670071
COM,2012,684553
COM,2013,699393
COM,2014,714612
COM,2015,730216
COM,2016,746232
COM,2017,761664
COM,2018,776313
COM,2019,790986
COG,1990,2385435
COG,1991,2452675
COG,1992,2520958
COG,1993,2594168
COG,1994,2669220
COG,1995,2742309
COG,1996,2816595
COG,1997,2875037
COG,1998,2937166
COG,1999,3016659
COG,2000,3134030
COG,2001,3254101
COG,2002,3331158
COG,2003,3424653
COG,2004,3543012
COG,2005,3672839
COG,2006,3813323
COG,2007,3956329
COG,2008,4089602
COG,2009,4257230
COG,2010,4437884
COG,2011,4584216
COG,2012,4713257
COG,2013,4828066
COG,2014,4944861
COG,2015,5064386
COG,2016,5186824
COG,2017,5312340
COG,2018,5441062
COG,2019,5570733
COD,1990,35987541
COD,1991,37194812
COD,1992,38332302
COD,1993,39580844
COD,1994,41511985
COD,1995,43285791
COD,1996,44118709
COD,1997,44822198
COD,1998,45895524
COD,1999,47227238
COD,2000,48616317
COD,2001,50106657
COD,2002,51662071
COD,2003,53205639
COD,2004,54815607
COD,2005,56550247
COD,2006,58381630
COD,2007,60289422
COD,2008,62249724
COD,2009,64270232
COD,2010,66391257
COD,2011,68654269
COD,2012,70997870
COD,2013,73460021
COD,2014,76035588
COD,2015,78656904
COD,2016,81430977
COD,2017,84283273
COD,2018,87087355
COD,2019,89906890
CRI,1990,3158253
CRI,1991,3239414
CRI,1992,3321939
CRI,1993,3405372
CRI,1994,3489152
CRI,1995,3572856
CRI,1996,3656234
CRI,1997,3739421
CRI,1998,3821421
CRI,1999,3901430
CRI,2000,3979193
CRI,2001,4053222
CRI,2002,4122623
CRI,2003,4188610
CRI,2004,4252800
CRI,2005,4315887
CRI,2006,4378172
CRI,2007,4440019
CRI,2008,4501921
CRI,2009,4563127
CRI,2010,4622252
CRI,2011,4679926
CRI,2012,4736593
CRI,2013,4791535
CRI,2014,4844288
CRI,2015,4895242
CRI,2016,4945205
CRI,2017,4993842
CRI,2018,5040734
CRI,2019,5084532
CIV,1990,11910540
CIV,1991,12369269
CIV,1992,12838314
CIV,1993,13316448
CIV,1994,13802285
CIV,1995,14299727
CIV,1996,14810946
CIV,1997,15335453
CIV,1998,15858990
CIV,1999,16345894
CIV,2000,16799670
CIV,2001,17245468
CIV,2002,17683897
CIV,2003,18116451
CIV,2004,18544903
CIV,2005,18970215
CIV,2006,19394057
CIV,2007,19817700
CIV,2008,20244449
CIV,2009,20677762
